Arrival_Date,Commodity,Commodity_Code,District,Grade,Market,Max_Price,Min_Price,Modal_Price,State,Variety,Year,Month,Day,DayOfWeek
2003-07-05,Arhar (Tur/Red Gram)(Whole),49,Bhagalpur,FAQ,Bhagalpur,2700,2565,2650,Bihar,Arhar Dal(Tur),2003,7,5,5
2003-07-05,Rice,3,Bhagalpur,FAQ,Bhagalpur,1100,1005,1025,Bihar,Medium,2003,7,5,5
2003-07-05,Wheat,1,Bhagalpur,FAQ,Bhagalpur,765,645,700,Bihar,Deshi,2003,7,5,5
2003-07-05,Mustard Oil,324,Bhagalpur,FAQ,Bhagalpur,6075,5700,5800,Bihar,Other,2003,7,5,5
2003-07-05,Paddy(Dhan)(Common),2,Bhagalpur,FAQ,Bhagalpur,625,530,540,Bihar,Paddy fine,2003,7,5,5
2003-07-05,Masur Dal,259,Bhagalpur,FAQ,Bhagalpur,2020,1885,1960,Bihar,Masoor Gola,2003,7,5,5
2003-07-05,Onion,23,Bhagalpur,FAQ,Bhagalpur,700,625,685,Bihar,Pusa-Red,2003,7,5,5
2003-07-05,Big Gram,113,Bhagalpur,FAQ,Bhagalpur,1885,1825,1835,Bihar,Other,2003,7,5,5
2003-07-07,Onion,23,Bhagalpur,FAQ,Bhagalpur,700,635,685,Bihar,Pusa-Red,2003,7,7,0
2003-07-07,Paddy(Dhan)(Common),2,Bhagalpur,FAQ,Bhagalpur,630,530,540,Bihar,Paddy fine,2003,7,7,0
2003-07-07,Masur Dal,259,Bhagalpur,FAQ,Bhagalpur,2020,1890,1970,Bihar,Masoor Gola,2003,7,7,0
2003-07-07,Wheat,1,Bhagalpur,FAQ,Bhagalpur,775,660,710,Bihar,Deshi,2003,7,7,0
2003-07-07,Rice,3,Bhagalpur,FAQ,Bhagalpur,1100,1015,1030,Bihar,Medium,2003,7,7,0
2003-07-07,Mustard Oil,324,Bhagalpur,FAQ,Bhagalpur,6075,5720,5800,Bihar,Other,2003,7,7,0
2003-07-07,Bengal Gram(Gram)(Whole),6,Bhagalpur,FAQ,Bhagalpur,2125,2000,2050,Bihar,Desi (F.A.Q. Split),2003,7,7,0
2003-07-07,Potato,24,Bhagalpur,FAQ,Bhagalpur,480,410,420,Bihar,Desi,2003,7,7,0
2003-07-07,Arhar (Tur/Red Gram)(Whole),49,Bhagalpur,FAQ,Bhagalpur,2700,2580,2660,Bihar,Arhar Dal(Tur),2003,7,7,0
